ranking,palabra,frecuencia_absoluta,frecuencia_normalizada
767,materia,17468,114.5
768,llega,17456,114.42
769,carrera,17451,114.38
770,cierta,17389,113.98
771,sola,17362,113.8
772,psoe,17360,113.79
773,lejos,17339,113.65
774,juez,17328,113.58
775,características,17307,113.44
776,riesgo,17271,113.2
777,fácil,17205,112.77
778,diferencia,17178,112.59
779,cultural,17164,112.5
780,libros,17146,112.38
781,práctica,17142,112.36
782,mayo,17123,112.23
783,nuestras,17121,112.22
784,programas,17118,112.2
785,memoria,17083,111.97
786,llegado,17052,111.77
787,plazo,16976,111.27
788,expresión,16966,111.2
789,diciembre,16954,111.13
790,mantener,16948,111.09
791,enero,16929,110.96
792,volver,16898,110.76
793,cuadro,16891,110.71
794,producto,16851,110.45
795,produce,16845,110.41
796,europea,16842,110.39
797,conciencia,16829,110.31
798,tenían,16811,110.19
799,atrás,16786,110.03
800,felipe,16782,110
801,creación,16777,109.97
802,chile,16768,109.91
803,precio,16767,109.9
804,película,16761,109.86
805,puerto,16749,109.78
806,fuego,16685,109.36
807,cuestión,16666,109.24
808,pasó,16644,109.09
809,costa,16638,109.05
810,supuesto,16637,109.05
811,local,16607,108.85
812,habla,16597,108.79
813,aspectos,16569,108.6
814,cuba,16565,108.58
815,sala,16524,108.31
816,cámara,16523,108.3
817,vuelta,16521,108.29
818,vía,16508,108.2
819,mirada,16481,108.03
820,mejores,16443,107.78
821,informe,16436,107.73
822,unidad,16427,107.67
823,distintos,16415,107.59
824,suerte,16390,107.43
825,tales,16386,107.4
826,mira,16334,107.06
827,llamado,16312,106.92
828,técnica,16308,106.89
829,título,16308,106.89
830,s,16293,106.79
831,principios,16282,106.72
832,octubre,16228,106.37
833,volvió,16207,106.23
834,período,16199,106.18
835,g,16194,106.14
836,encontrar,16166,105.96
837,democracia,16159,105.92
838,aumento,16145,105.82
839,fútbol,16137,105.77
840,prueba,16113,105.61
841,consumo,16095,105.5
842,pese,16043,105.15
843,ocasiones,16026,105.04
844,exterior,15988,104.79
845,solución,15967,104.66
846,u,15967,104.66
847,hija,15958,104.6
848,sueño,15944,104.51
849,parís,15929,104.41
850,capaz,15925,104.38
851,ocasión,15924,104.37
852,industria,15902,104.23
853,adelante,15900,104.22
854,salida,15899,104.21
855,ciencia,15885,104.12
856,asunto,15844,103.85
857,asociación,15835,103.79
858,puso,15831,103.77
859,intereses,15830,103.76
860,oro,15811,103.63
861,podrá,15804,103.59
862,pregunta,15741,103.18
863,oposición,15736,103.14
864,entrar,15711,102.98
865,señora,15705,102.94
866,señaló,15699,102.9
867,santiago,15697,102.89
868,dolor,15685,102.81
869,zonas,15679,102.77
870,comercio,15637,102.49
871,operación,15633,102.47
872,tribunal,15609,102.31
873,instituciones,15606,102.29
874,temas,15569,102.05
875,militares,15566,102.03
876,junio,15555,101.96
877,marco,15548,101.91
878,sectores,15541,101.86
879,hacerlo,15539,101.85
880,aspecto,15528,101.78
881,razones,15527,101.77
882,contenido,15481,101.47
883,juicio,15481,101.47
884,electoral,15465,101.37
885,considera,15460,101.33
886,tendrá,15431,101.14
887,mucha,15397,100.92
888,voluntad,15394,100.9
889,dicen,15383,100.83
890,recuerdo,15382,100.82
891,socialista,15371,100.75
892,área,15369,100.74
893,aparece,15367,100.72
894,vio,15334,100.51
895,cama,15328,100.47
896,aun,15317,100.4
897,presenta,15315,100.38
898,pp,15293,100.24
899,revolución,15285,100.19
900,busca,15280,100.15
901,abril,15278,100.14
902,rodríguez,15272,100.1
903,fiscal,15265,100.06
904,lópez,15245,99.92
905,victoria,15241,99.9
906,violencia,15235,99.86
907,primeras,15226,99.8
908,pequeña,15214,99.72
909,armas,15153,99.32
910,debía,15149,99.29
911,ii,15123,99.12
912,esfuerzo,15109,99.03
913,humana,15107,99.02
914,posibilidades,15090,98.91
915,centros,15076,98.82
916,profesional,15075,98.81
917,asimismo,15048,98.63
918,grado,15048,98.63
919,has,15027,98.5
920,toma,15003,98.34
921,distintas,14926,97.83
922,material,14915,97.76
923,carne,14905,97.7
924,llama,14903,97.68
925,particular,14876,97.51
926,jorge,14867,97.45
927,trabajar,14837,97.25
928,propuesta,14830,97.2
929,muerto,14816,97.11
930,precios,14809,97.07
931,reforma,14779,96.87
932,hermano,14736,96.59
933,corte,14735,96.58
934,comenzó,14733,96.57
935,etapa,14716,96.46
936,obstante,14695,96.32
937,pone,14685,96.25
938,diversos,14671,96.16
939,visita,14660,96.09
940,concepto,14657,96.07
941,pacientes,14637,95.94
942,semanas,14603,95.72
943,tipos,14592,95.64
944,solamente,14520,95.17
945,deseo,14499,95.03
946,sistemas,14484,94.94
947,encuentran,14482,94.92
948,siguientes,14475,94.88
949,martín,14429,94.58
950,suficiente,14414,94.48
951,marzo,14408,94.44
952,propios,14404,94.41
953,jamás,14371,94.2
954,dan,14364,94.15
955,club,14359,94.12
956,instituto,14354,94.08
957,constitución,14299,93.72
958,curso,14290,93.66
959,lenguaje,14270,93.53
960,estilo,14237,93.32
961,rosa,14180,92.94
962,imposible,14178,92.93
963,pablo,14152,92.76
964,buscar,14151,92.75
965,peor,14145,92.71
966,piel,14128,92.6
967,arriba,14085,92.32
968,generales,14073,92.24
969,septiembre,14072,92.24
970,blanca,14061,92.16
971,r,14041,92.03
972,aquellas,13996,91.74
973,teoría,13935,91.34
974,animales,13916,91.21
975,hicieron,13913,91.19
976,larga,13908,91.16
977,perdido,13890,91.04
978,imágenes,13887,91.02
979,paciente,13885,91.01
980,conseguir,13871,90.92
981,máximo,13855,90.81
982,noviembre,13848,90.77
983,j,13831,90.66
984,líder,13830,90.65
985,hospital,13823,90.6
986,diversas,13816,90.56
987,rafael,13804,90.48
988,vuelve,13799,90.45
989,destino,13783,90.34
990,torno,13781,90.33
991,proyectos,13773,90.28
992,flores,13763,90.21
993,niveles,13759,90.18
994,afirmó,13758,90.18
995,explicó,13751,90.13
996,n,13748,90.11
997,somos,13727,89.97
998,términos,13719,89.92
999,premio,13701,89.8
1000,tercera,13694,89.76
